LISTED_STOCKS,COMPANY,SECTOR,SUBSECTOR,YEAR,DATE,FS_YEAR,ASSETS,LIABILITIES,EQUITY,SALES,EBT,PROFIT_FOR_THE_PERIOD,PROFIT_ATTR_TO_OWNERS_ENTITY,EPS,BOOK_VALUE,PER,PBV,DER,ROA,ROE,NPM,Category
AYLS,Agro Yasa Lestari Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Jul-19,Dec,66000000000.0,33000000000.0,33000000000,27000000000.0,2720000000.0,2109999999.9999998,2109999999.9999998,4.23,38.0,12.0,1.3,1.01,5.48,11.0,13.3,Overvalued
BLUE,Berkah Prima Perkasa Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,91000000000.0,16000000000.0,75000000000,84000000000.0,18000000000.0,14000000000.0,14000000000.0,43.5,180.0,11.0,2.77,0.21,19.9,24.1,21.6,Overvalued
BMSR,Bintang Mitra Semestaraya Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,622000000000.0,471000000000.0,151000000000,2910000000000.0,6300000000.0,5190000000.0,5190000000.0,4.48,130.0,12.0,0.4,3.12,0.83,3.44,0.18,Overvalued
BOGA,Bintang Oto Global Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,580000000000.0,152000000000.0,427000000000,791000000000.0,18000000000.0,9830000000.0,9810000000.0,2.58,112.0,601.0,13.8,0.36,1.69,2.3,1.24,Overvalued
CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,8278000000000.0,6266000000000.0,2012000000000,5509000000000.0,170000000000.0,133000000000.0,117000000000.0,10.4,134.0,5.19,0.4,3.11,1.89,7.76,2.83,Not Overvalued
CLPI,Colorpak Indonesia Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,692000000000.0,221000000000.0,471000000000,816000000000.0,56000000000.0,36000000000.0,36000000000.0,118.0,1537.0,5.93,0.46,0.47,5.23,7.67,4.43,Not Overvalued
DPUM,Dua Putra Utama Makmur Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,1939000000000.0,698000000000.0,1241000000000,323000000000.0,-166000000000.0,-166000000000.0,-166000000000.0,-53.2,297.0,-1.62,0.29,0.56,-11.4,-17.9,-68.7,Not Overvalued
EPMT,Enseval Putera Megatrading Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,8705000000000.0,2576000000000.0,6129000000000,22227000000000.0,801000000000.0,581000000000.0,581000000000.0,214.4,2263.0,8.4,0.8,0.42,6.67,9.47,2.61,Overvalued
FISH,FKS Multi Agro Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,5944000000000.0,4313000000000.0,1631000000000,14254000000000.0,233000000000.0,158000000000.0,156000000000.0,325.5,3398.0,7.5,0.72,2.64,2.63,9.58,1.1,Overvalued
GREN,Evergreen Invesco Tbk.,"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-16,Dec,488000000000.0,22000000000.0,467000000000,106000000000.0,10000000000.0,550000000.0,550000000.0,0.16,99.0,2101.0,3.3,0.05,0.15,0.16,0.69,Overvalued
HADE,Himalaya Energi Perkasa Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,72000000000.0,1920000000.0,70000000000,2660000000.0,-807000000.0,-814000000.0,-829000000.0,-0.521,33.0,-96.0,1.51,0.03,-1.53,-1.57,-41.5,Not Overvalued
HDIT,Hensel Davest Indonesia Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,376000000000.0,26000000000.0,351000000000,7223000000000.0,13000000000.0,9460000000.0,9460000000.0,8.28,230.0,72.0,2.61,0.07,3.35,3.6,0.17,Overvalued
HEXA,Hexindo Adiperkasa Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Mar,3988000000000.0,1581000000000.0,2407000000000,4468000000000.0,623000000000.0,466000000000.0,466000000000.0,554.8,2866.0,4.69,0.91,0.66,11.7,19.4,10.4,Not Overvalued
HKMU,HK Metals Utama Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,1726000000000.0,1022000000000.0,704000000000,969000000000.0,111000000000.0,82000000000.0,80000000000.0,33.0,219.0,2.64,0.4,1.45,6.16,15.1,11.0,Not Overvalued
INPS,Indah Prakasa Sentosa Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,479000000000.0,338000000000.0,141000000000,405000000000.0,-1290000000.0,-3880000000.0,-3930000000.0,-6.04,217.0,-629.0,17.5,2.4,-0.82,-2.79,-0.97,Not Overvalued
INTA,Intraco Penta Tbk.,"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,4613000000000.0,4522000000000.0,91000000000,1643000000000.0,-145000000000.0,-121000000000.0,-127000000000.0,-50.8,27.0,-5.82,10.8,49.6,-3.68,-186.2,-10.3,Not Overvalued
INTD,Inter Delta Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,49000000000.0,8109999999.999999,41000000000,85000000000.0,2120000000.0,740000000.0,740000000.0,1.25,70.0,171.0,3.07,0.2,1.5,1.79,0.87,Overvalued
IRRA,Itama Ranoraya Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,325000000000.0,90000000000.0,235000000000,282000000000.0,44000000000.0,33000000000.0,33000000000.0,20.8,147.0,27.0,3.81,0.38,10.2,14.1,11.8,Overvalued
KAYU,Darmi Bersaudara Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,106000000000.0,28000000000.0,78000000000,44000000000.0,4250000000.0,3300000000.0,3300000000.0,4.96,117.0,10.0,0.43,0.35,3.12,4.23,7.54,Overvalued
KOBX,Kobexindo Tractors Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,1775000000000.0,1300000000000.0,475000000000,778000000000.0,32000000000.0,19000000000.0,19000000000.0,10.9,209.0,8.71,0.45,2.74,1.4,5.22,3.18,Overvalued
KONI,Perdana Bangun Pusaka Tbk.,"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,114000000000.0,98000000000.0,16000000000,134000000000.0,2340000000.0,2670000000.0,2670000000.0,17.6,108.0,24.0,3.96,5.97,2.34,16.3,2.0,Overvalued
LTLS,Lautan Luas Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,5863000000000.0,3703000000000.0,2160000000000,6535000000000.0,304000000000.0,226000000000.0,181000000000.0,115.7,1385.0,3.63,0.3,1.71,3.08,8.36,2.76,Not Overvalued
MICE,Multi Indocitra Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,1015000000000.0,366000000000.0,649000000000,551000000000.0,33000000000.0,24000000000.0,25000000000.0,55.9,1081.0,5.69,0.29,0.56,3.31,5.17,6.09,Not Overvalued
MPMX,Mitra Pinasthika Mustika Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,9564000000000.0,2297000000000.0,7266000000000,16818000000000.0,686000000000.0,466000000000.0,433000000000.0,97.0,1628.0,5.56,0.33,0.32,4.53,5.96,2.57,Not Overvalued
OKAS,Ancora Indonesia Resources Tbk.,"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,2673000000000.0,2502000000000.0,170000000000,2256000000000.0,12000000000.0,17000000000.0,1880000000.0,1.07,97.0,72.0,0.8,14.7,0.07,1.11,0.08,Overvalued
OPMS,Optima Prima Metal Sinergi Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,116000000000.0,1870000000.0,114000000000,88000000000.0,4510000000.0,3130000000.0,3130000000.0,3.13,114.0,29.0,0.79,0.02,2.69,2.74,3.54,Overvalued
PMJS,Putra Mandiri Jembar Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,3720000000000.0,1497000000000.0,2223000000000,8729000000000.0,201000000000.0,131000000000.0,95000000000.0,6.94,162.0,18.0,0.79,0.67,2.57,4.29,1.09,Overvalued
SDPC,Millennium Pharmacon International Tbk.,"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,1231000000000.0,995000000000.0,235000000000,2727000000000.0,12000000000.0,7880000000.0,7880000000.0,6.19,185.0,16.0,0.52,4.23,0.64,3.35,0.29,Overvalued
SPTO,Surya Pertiwi Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,2936000000000.0,1244000000000.0,1691000000000,2266000000000.0,257000000000.0,221000000000.0,209000000000.0,77.3,626.0,6.6,0.81,0.74,7.11,12.3,9.21,Overvalued
SUGI,Sugih Energy Tbk.,"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-18,Dec,7201000000000.0,4903000000000.0,2297000000000,12000000000.0,-23000000000.0,-20000000000.0,-20000000000.0,-1.1,93.0,-45.0,0.54,2.13,-0.379,-1.19,-221.1,Not Overvalued
TFAS,Telefast Indonesia Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,240000000000.0,88000000000.0,152000000000,528000000000.0,19000000000.0,15000000000.0,15000000000.0,12.2,91.0,14.0,1.89,0.58,8.45,13.3,3.85,Overvalued
TGKA,Tigaraksa Satria Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,2996000000000.0,1604000000000.0,1392000000000,13372000000000.0,553000000000.0,428000000000.0,428000000000.0,466.4,1516.0,11.0,3.37,1.15,14.3,30.8,3.2,Overvalued
TIRA,Tira Austenite Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,330000000000.0,173000000000.0,157000000000,213000000000.0,1910000000.0,640000000.0,1460000000.0,3.31,266.0,82.0,1.01,1.11,0.59,1.24,0.91,Overvalued
TRIL,Triwira Insanlestari Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,127000000000.0,5660000000.0,121000000000,260000000.0,-3000000000.0,-3000000000.0,-3000000000.0,-3.33,101.0,-15.0,0.5,0.05,-3.15,-3.3,-1524.4,Not Overvalued
TURI,Tunas Ridean Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,6293000000000.0,2343000000000.0,3949000000000,13000000000000.0,736000000000.0,583000000000.0,583000000000.0,113.9,708.0,11.0,1.71,0.59,10.1,16.1,4.89,Overvalued
UNTR,United Tractors Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Dec-19,Dec,111713000000000.0,50603000000000.0,61110000000000,84430000000000.0,15477000000000.0,11135000000000.0,11312000000000.0,3032.6,16383.0,5.37,0.99,0.83,10.1,18.5,13.4,Not Overvalued
WAPO,Wahana Pronatural Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,94000000000.0,19000000000.0,75000000000,154000000000.0,-2350000000.0,-2350000000.0,-2350000000.0,-2.53,61.0,-28.0,1.17,0.25,-3.34,-4.16,-2.03,Not Overvalued
WICO,Wicaksana Overseas International Tbk. [S],"TRADE, SERVICES & INVESTMENT",WHOLESALE (DURABLE & NON-DURABLE GOODS),Year 2019,Sep-19,Dec,430000000000.0,167000000000.0,263000000000,1067000000000.0,-15000000000.0,-15000000000.0,-15000000000.0,-15.7,207.0,-38.0,2.9,0.64,-4.64,-7.6,-1.87,Not Overvalued
BEEF,Estika Tata Tiara Tbk. [S],AGRICULTURE,ANIMAL HUSBANDRY,Year 2018,Dec-18,Dec,565000000000.0,335000000000.0,230000000000,896000000000.0,42000000000.0,31000000000.0,30000000000.0,15.8,122.0,14.0,1.8,1.46,5.46,13.4,3.44,Not Overvalued
BISI,Bisi International Tbk. [S],AGRICULTURE,CROPS,Year 2018,Dec-18,Dec,2765000000000.0,455000000000.0,2310000000000,2266000000000.0,505000000000.0,404000000000.0,404000000000.0,134.6,770.0,11.0,1.86,0.2,14.6,17.5,17.8,Not Overvalued
DSFI,Dharma Samudera Fishing Industries Tbk. [S],AGRICULTURE,FISHERY,Year 2018,Dec-18,Dec,405000000000.0,223000000000.0,182000000000,653000000000.0,11000000000.0,8640000000.0,8640000000.0,4.65,98.0,27.0,1.27,1.22,2.13,4.74,1.32,Not Overvalued
AALI,Astra Agro Lestari Tbk. [S],AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,26857000000000.0,7382000000000.0,19475000000000,19084000000000.0,2207000000000.0,1521000000000.0,1439000000000.0,747.4,10118.0,15.0,1.11,0.38,5.66,7.81,7.97,Not Overvalued
ANDI,Andira Agro Tbk.,AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,540000000000.0,294000000000.0,246000000000,300000000000.0,24000000000.0,17000000000.0,17000000000.0,9.2,132.0,190.0,13.3,1.19,3.19,6.99,5.73,Overvalued
ANJT,Austindo Nusantara Jaya Tbk. [S],AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,8757000000000.0,3138000000000.0,5619000000000,2206000000000.0,97000000000.0,-7150000000.0,-4510000000.0,-1.35,1675.0,-750.0,0.6,0.56,-0.082,-0.127,-0.324,Not Overvalued
BWPT,Eagle High Plantations Tbk. [S],AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,16163000000000.0,10364000000000.0,5799000000000,3083000000000.0,-554000000000.0,-463000000000.0,-450000000000.0,-14.3,184.0,-11.0,0.86,1.79,-2.86,-7.98,-15.0,Not Overvalued
DSNG,Dharma Satya Nusantara Tbk.,AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,11739000000000.0,8080000000000.0,3659000000000,4762000000000.0,611000000000.0,427000000000.0,421000000000.0,39.7,345.0,9.93,1.14,2.21,3.64,11.7,8.97,Not Overvalued
GOLL,Golden Plantation Tbk.,AGRICULTURE,PLANTATION,Year 2018,Sep-18,Dec,2591000000000.0,1776000000000.0,815000000000,92000000000.0,-122000000000.0,-122000000000.0,-83000000000.0,-30.2,222.0,-1.65,0.22,2.18,-6.3,-20.0,-177.3,Not Overvalued
GZCO,Gozco Plantations Tbk. [S],AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,2911000000000.0,1840000000000.0,1071000000000,565000000000.0,-420000000000.0,-353000000000.0,-353000000000.0,-58.9,178.0,-0.883,0.29,1.72,-12.1,-33.0,-62.5,Not Overvalued
JAWA,Jaya Agra Wattie Tbk.,AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,3442000000000.0,2768000000000.0,674000000000,746000000000.0,-304000000000.0,-300000000000.0,-298000000000.0,-79.1,179.0,-1.72,0.76,4.11,-8.72,-44.5,-40.3,Not Overvalued
LSIP,PP London Sumatra Indonesia Tbk. [S],AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,10037000000000.0,1705000000000.0,8332000000000,4020000000000.0,417000000000.0,329000000000.0,331000000000.0,48.6,1221.0,21.0,0.85,0.2,3.28,3.95,8.19,Not Overvalued
MAGP,Multi Agro Gemilang Plantation Tbk. [S],AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,1301000000000.0,791000000000.0,510000000000,176000000000.0,-62000000000.0,-63000000000.0,-61000000000.0,-6.78,57.0,-7.37,0.88,1.55,-4.84,-12.4,-35.9,Not Overvalued
MGRO,Mahkota Group Tbk. [S],AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,1078000000000.0,412000000000.0,666000000000,2001000000000.0,107000000000.0,84000000000.0,85000000000.0,24.0,189.0,41.0,5.15,0.62,7.81,12.6,4.21,Not Overvalued
PALM,Provident Agro Tbk. [S],AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,1993000000000.0,380000000000.0,1613000000000,447000000000.0,-87000000000.0,-111000000000.0,-111000000000.0,-15.6,227.0,-16.0,1.13,0.24,-5.6,-6.91,-25.0,Not Overvalued
SGRO,Sampoerna Agro Tbk.,AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,9019000000000.0,4990000000000.0,4029000000000,3207000000000.0,143000000000.0,64000000000.0,56000000000.0,29.4,2132.0,87.0,1.2,1.24,0.71,1.58,1.98,Overvalued
SIMP,Salim Ivomas Pratama Tbk. [S],AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,34667000000000.0,16380000000000.0,18287000000000,14190000000000.0,207000000000.0,-178000000000.0,-77000000000.0,-4.84,1156.0,-91.0,0.38,0.9,-0.514,-0.974,-1.25,Not Overvalued
SMAR,SMART Tbk.,AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,29310000000000.0,17061000000000.0,12249000000000,37392000000000.0,702000000000.0,598000000000.0,597000000000.0,208.0,4265.0,20.0,0.96,1.39,2.04,4.88,1.6,Not Overvalued
SSMS,Sawit Sumbermas Sarana Tbk.,AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,11296000000000.0,7227000000000.0,4069000000000,3711000000000.0,341000000000.0,87000000000.0,86000000000.0,9.05,427.0,118.0,2.49,1.78,0.77,2.13,2.34,Overvalued
TBLA,Tunas Baru Lampung Tbk.,AGRICULTURE,PLANTATION,Year 2018,Dec-18,Dec,16340000000000.0,11556000000000.0,4784000000000,8615000000000.0,1043000000000.0,764000000000.0,758000000000.0,141.8,895.0,5.92,0.94,2.42,4.68,16.0,8.87,Not Overvalued
CPIN,Charoen Pokphand Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2018,Dec-18,Dec,27645000000000.0,8254000000000.0,19391000000000,53958000000000.0,5907000000000.0,4551000000000.0,4554000000000.0,277.7,1183.0,23.0,5.41,0.43,16.5,23.5,8.44,Not Overvalued
JPFA,Japfa Comfeed Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2018,Dec-18,Dec,23038000000000.0,12823000000000.0,10215000000000,34013000000000.0,3090000000000.0,2253000000000.0,2168000000000.0,184.9,871.0,9.49,2.01,1.26,9.78,22.1,6.62,Not Overvalued
MAIN,Malindo Feedmill Tbk. [S],BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2018,Dec-18,Dec,4336000000000.0,2344000000000.0,1897000000000,6706000000000.0,398000000000.0,284000000000.0,285000000000.0,127.2,847.0,10.0,1.57,1.24,6.56,15.0,4.24,Not Overvalued
SIPD,Sierad Produce Tbk. [S],BASIC INDUSTRY AND CHEMICALS,ANIMAL FEED,Year 2018,Dec-18,Dec,2188000000000.0,1347000000000.0,840000000000,3120000000000.0,34000000000.0,26000000000.0,18000000000.0,13.3,628.0,65.0,1.37,1.6,1.19,3.09,0.83,Overvalued
INTP,Indocement Tunggal Prakarsa Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2018,Dec-18,Dec,27789000000000.0,4567000000000.0,23222000000000,15190000000000.0,1401000000000.0,1146000000000.0,1146000000000.0,311.3,6308.0,70.0,3.47,0.2,4.12,4.93,7.54,Overvalued
SMBR,Semen Baturaja (Persero) Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2018,Dec-18,Dec,5538000000000.0,2064000000000.0,3474000000000,1996000000000.0,145000000000.0,76000000000.0,76000000000.0,7.66,350.0,170.0,3.72,0.59,1.37,2.19,3.81,Overvalued
SMCB,Holcim Indonesia Tbk.,BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2018,Dec-18,Dec,18667000000000.0,12251000000000.0,6416000000000,10378000000000.0,45000000000.0,-684000000000.0,-684000000000.0,-89.3,837.0,-23.0,2.46,1.91,-3.67,-10.7,-6.59,Not Overvalued
SMGR,Semen Indonesia (Persero) Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2018,Dec-18,Dec,51156000000000.0,18420000000000.0,32736000000000,30688000000000.0,4105000000000.0,3086000000000.0,3079000000000.0,519.1,5519.0,27.0,2.53,0.56,6.03,9.43,10.1,Not Overvalued
WSBP,Waskita Beton Precast Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2018,Dec-18,Dec,15222000000000.0,7340000000000.0,7882000000000,8000000000000.0,1356000000000.0,1103000000000.0,1103000000000.0,41.9,299.0,9.6,1.34,0.93,7.25,14.0,13.8,Not Overvalued
WTON,Wijaya Karya Beton Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CEMENT,Year 2018,Dec-18,Dec,8882000000000.0,5745000000000.0,3137000000000,6931000000000.0,619000000000.0,487000000000.0,486000000000.0,55.8,360.0,11.0,1.72,1.83,5.48,15.5,7.02,Not Overvalued
AMFG,Asahimas Flat Glass Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2018,Dec-18,Dec,8433000000000.0,4836000000000.0,3597000000000,4443000000000.0,11000000000.0,6600000000.0,6600000000.0,15.2,8287.0,362.0,0.66,1.34,0.08,0.18,0.15,Overvalued
ARNA,Arwana Citramulia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2018,Dec-18,Dec,1653000000000.0,556000000000.0,1097000000000,1971000000000.0,212000000000.0,158000000000.0,157000000000.0,21.3,149.0,24.0,3.38,0.51,9.57,14.4,8.02,Not Overvalued
KIAS,Keramika Indonesia Assosiasi Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2018,Dec-18,Dec,1704000000000.0,350000000000.0,1355000000000,876000000000.0,-95000000000.0,-79000000000.0,-74000000000.0,-4.97,91.0,-20.0,1.1,0.26,-4.65,-5.85,-9.04,Not Overvalued
MARK,Mark Dynamics Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2018,Dec-18,Dec,318000000000.0,80000000000.0,238000000000,325000000000.0,111000000000.0,82000000000.0,82000000000.0,21.6,63.0,23.0,7.86,0.34,25.7,34.5,25.2,Not Overvalued
MLIA,Mulia Industrindo Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2018,Dec-18,Dec,5264000000000.0,3022000000000.0,2241000000000,5577000000000.0,265000000000.0,189000000000.0,189000000000.0,142.9,1694.0,11.0,0.91,1.35,3.59,8.44,3.39,Not Overvalued
TOTO,Surya Toto Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,"CERAMICS, GLASS, PORCELAIN",Year 2018,Dec-18,Dec,2897000000000.0,968000000000.0,1929000000000,2228000000000.0,452000000000.0,347000000000.0,347000000000.0,33.6,187.0,12.0,2.13,0.5,12.0,18.0,15.6,Not Overvalued
ADMG,Polychem Indonesia Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,4082000000000.0,537000000000.0,3545000000000,5186000000000.0,-2029999999.9999998,-19000000000.0,-18000000000.0,-4.7,912.0,-74.0,0.38,0.15,-0.465,-0.535,-0.366,Not Overvalued
AGII,Aneka Gas Industri Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,6648000000000.0,3500000000000.0,3148000000000,2073000000000.0,148000000000.0,114000000000.0,100000000000.0,32.5,1026.0,17.0,0.55,1.11,1.72,3.63,5.52,Not Overvalued
BRPT,Barito Pacific Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,102412000000000.0,63119000000000.0,39293000000000,44725000000000.0,6628000000000.0,3520000000000.0,1050000000000.0,59.0,2209.0,61.0,1.63,1.61,3.44,8.96,7.87,Overvalued
DPNS,Duta Pertiwi Nusantara Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,322000000000.0,44000000000.0,278000000000,143000000000.0,12000000000.0,9380000000.0,10000000000.0,31.5,839.0,10.0,0.38,0.16,2.91,3.38,6.54,Not Overvalued
EKAD,Ekadharma International Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,853000000000.0,129000000000.0,725000000000,740000000000.0,101000000000.0,74000000000.0,72000000000.0,103.5,1037.0,7.92,0.79,0.46,23.0,10.2,10.0,Not Overvalued
INCI,Intanwijaya Internasional Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,391000000000.0,71000000000.0,320000000000,368000000000.0,22000000000.0,17000000000.0,17000000000.0,85.1,1631.0,6.82,0.36,0.22,4.26,5.21,4.53,Not Overvalued
MDKI,Emdeki Utama Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,914000000000.0,83000000000.0,831000000000,399000000000.0,44000000000.0,34000000000.0,34000000000.0,13.2,329.0,19.0,0.78,0.1,3.7,4.06,8.46,Not Overvalued
MOLI,Madusari Murni Indah Tbk.,BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,1868000000000.0,705000000000.0,1163000000000,1190000000000.0,129000000000.0,94000000000.0,78000000000.0,33.3,498.0,34.0,2.28,0.61,5.04,8.1,7.92,Not Overvalued
SRSN,Indo Acidatama Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,687000000000.0,209000000000.0,478000000000,601000000000.0,51000000000.0,39000000000.0,39000000000.0,6.43,79.0,11.0,0.88,0.44,5.64,8.11,6.45,Not Overvalued
TDPM,Tridomain Performance Materials Tbk. [S],BASIC INDUSTRY AND CHEMICALS,CHEMICALS,Year 2018,Dec-18,Dec,4424000000000.0,2344000000000.0,2080000000000,3893000000000.0,267000000000.0,188000000000.0,179000000000.0,17.1,198.0,18.0,1.52,1.13,4.25,9.04,4.83,Not Overvalued
